stereotype_type,text,text_with_marker,category,data_source,label,Sentiment,Regard
other,"I'll do my part! and without the division of the votes, we may overtake that 2-faced hypocrite, newsom  here's what Adam Carolla had to say about newsom  ","I'll do my part! and without the division of the votes, we may overtake that 2-faced hypocrite, newsom  here's what Adam Carolla had to say about newsom  ",unrelated,gab_forum,unrelated,neutral,negative
other,Coupons for Free Starbucks for “Colored People” 😂,Coupons for Free Starbucks for “Colored People” 😂,unrelated,gab_forum,unrelated,neutral,neutral
other,Truth about the #BlackPanther movie  ,Truth about the #BlackPanther movie  ,unrelated,gab_forum,unrelated,neutral,negative
other,"thanks, buddy  seriously – go try Daily Stormer!","thanks, buddy  seriously – go try Daily Stormer!",unrelated,gab_forum,unrelated,positive,neutral
other,"Huh, so Apple will allow an entire book of hate speech (directs calls for violence) on the App Store, but doesn’t allow Gab? Also, why is LONDON featured?","Huh, so Apple will allow an entire book of hate speech (directs calls for violence) on the App Store, but doesn’t allow Gab? Also, why is LONDON featured?",unrelated,gab_forum,unrelated,negative,negative
other,Interesting.,Interesting.,unrelated,gab_forum,unrelated,positive,neutral
other,turn the fucking light off! they are coming to the light ffs!,turn the fucking light off! they are coming to the light ffs!,unrelated,gab_forum,unrelated,negative,negative
other,"I'm listening to 'Wanna Be Startin' Somethin'' by Michael Jackson, from the album This Is It. Michael!! ","I'm listening to 'Wanna Be Startin' Somethin'' by Michael Jackson, from the album This Is It. Michael!! ",unrelated,gab_forum,unrelated,positive,neutral
other,if you have been censored by twitter it makes you an AMERICA,if you have been censored by twitter it makes you an AMERICA,unrelated,gab_forum,unrelated,negative,negative
other,CNN's Cuomo apparently cannot connect dots accurately.  Sociopaths are successful because they are willing to sell themselves.  Wonder what Cuomo has in his closet.,CNN's Cuomo apparently cannot connect dots accurately.  Sociopaths are successful because they are willing to sell themselves.  Wonder what Cuomo has in his closet.,unrelated,gab_forum,unrelated,negative,negative
politics,"After voting in June for an amendment to the Missouri Democratic Party platform that proclaimed their acceptance of pro-life members, the party voted the amendment out on Saturday. ","After voting in June for an amendment to the Missouri Democratic Party platform that proclaimed their acceptance of pro-life members, the party voted the amendment out on Saturday. ",unrelated,gab_forum,unrelated,neutral,negative
other,City Officials in France Face Trial for Article on Migrant Assault.      European authorities are terrified of the truth. It exposes their negligence.,City Officials in France Face Trial for Article on Migrant Assault.      European authorities are terrified of the truth. It exposes their negligence.,unrelated,gab_forum,unrelated,negative,negative
other,"I am more worried about 23andme using the data for malicious purposes, department of defense was already kicking around the idea of gathering Russian DNA for a gene specific bioweapon and lord knows the kikes would not be beyond trying that on white America if their research yielded anything.","I am more worried about 23andme using the data for malicious purposes, department of defense was already kicking around the idea of gathering Russian DNA for a gene specific bioweapon and lord knows the kikes would not be beyond trying that on white America if their research yielded anything.",unrelated,gab_forum,unrelated,negative,negative
nationality,Fucking foreigner.  I don't deal with people that can't speak proper English.,Fucking foreigner.  I don't deal with people that can't speak proper English.,stereotype,gab_forum,stereotype_nationality,negative,negative
other,Keep Gab and its Founder in Prayer  Attacks coming ftom all sides  Q had told us this would happen  This is one of the last places of   Free Speech & THEY are coming   at US from all sides!  Stay Strong Patriots  Stay Together  Build One Another Up in Love,Keep Gab and its Founder in Prayer  Attacks coming ftom all sides  Q had told us this would happen  This is one of the last places of   Free Speech & THEY are coming   at US from all sides!  Stay Strong Patriots  Stay Together  Build One Another Up in Love,unrelated,gab_forum,unrelated,negative,other
other,I kept my Disqus account separate. Couple others. I don't know why they do that. I guess it makes them feel powerful. Probably some little whore at a computer that can't even think right half the time like Jack.  ,I kept my Disqus account separate. Couple others. I don't know why they do that. I guess it makes them feel powerful. Probably some little whore at a computer that can't even think right half the time like Jack.  ,unrelated,gab_forum,unrelated,negative,negative
other,"Sean Hannity Feb 14, 2018 - Breaking News 02_14_2018   via @YouTube","Sean Hannity Feb 14, 2018 - Breaking News 02_14_2018   via @YouTube",unrelated,gab_forum,unrelated,neutral,neutral
other,Daily Caller: #MeToo on its last legs.  ,Daily Caller: #MeToo on its last legs.  ,unrelated,gab_forum,unrelated,neutral,neutral
other,I would absolutely NOT be mad if he did this.,I would absolutely NOT be mad if he did this.,unrelated,gab_forum,unrelated,negative,negative
other,Still trying to find the Li'l Davy meme that was going around not long ago.,Still trying to find the Li'l Davy meme that was going around not long ago.,unrelated,gab_forum,unrelated,neutral,negative
other,Happy Easter!,Happy Easter!,unrelated,gab_forum,unrelated,positive,neutral
other,"I've been here since almost the beginning of Gab, thought i would poke my head in and say Howdy to the new folks. I'm in Houston, if anyone else is, wave.","I've been here since almost the beginning of Gab, thought i would poke my head in and say Howdy to the new folks. I'm in Houston, if anyone else is, wave.",unrelated,gab_forum,unrelated,positive,neutral
other,And THIS is why Trump needs to replace the Judiciary...,And THIS is why Trump needs to replace the Judiciary...,unrelated,gab_forum,unrelated,negative,negative
sexual_orientation,"Some faggot-loving newspaper wants folks to stay queer if they're either born or ""are"" that way  Anyone who opposes trying to convert a fag into a hetero is a traitor not just to #Whites, but to the entire human race, and should be condemned & punished. In my #WN state, they would be-","Some faggot-loving newspaper wants folks to stay queer if they're either born or ""are"" that way  Anyone who opposes trying to convert a fag into a hetero is a traitor not just to #Whites, but to the entire human race, and should be condemned & punished. In my #WN state, they would be-",neutral,gab_forum,neutral_sexual_orientation,negative,negative
other,"Also I don’t get the black box with “paste”. When I first touch the screen with my thumb to paste a link, a grey box shows up covering the whole text box and then the curser appears and then the opaque zoom circle. That’s it","Also I don’t get the black box with “paste”. When I first touch the screen with my thumb to paste a link, a grey box shows up covering the whole text box and then the curser appears and then the opaque zoom circle. That’s it",unrelated,gab_forum,unrelated,negative,neutral
other,Aww they are cute..can we play with them?,Aww they are cute..can we play with them?,unrelated,gab_forum,unrelated,positive,neutral
other,Taliban also burns poppie fields and hangs farmers and drug cartels   US army is now protecting those fields. #Opium #USArmy #Afghanistan #BigPharma,Taliban also burns poppie fields and hangs farmers and drug cartels   US army is now protecting those fields. #Opium #USArmy #Afghanistan #BigPharma,unrelated,gab_forum,unrelated,negative,negative
other,Perhaps the most important job of the FLOTUS is not to embarrass her husband or the USA ............. Under that criteria........ MO has to be the biggest failure in history of the nation,Perhaps the most important job of the FLOTUS is not to embarrass her husband or the USA ............. Under that criteria........ MO has to be the biggest failure in history of the nation,unrelated,gab_forum,unrelated,negative,other
other,Little baby white pills. Ann is Joan of Arc of she sounds the battle cry...,Little baby white pills. Ann is Joan of Arc of she sounds the battle cry...,unrelated,gab_forum,unrelated,neutral,positive
other,"For those who don't know, I did a pretty in-depth review of Alice: Madness Returns for the PC. @americanmcgee Check it out: ","For those who don't know, I did a pretty in-depth review of Alice: Madness Returns for the PC. @americanmcgee Check it out: ",unrelated,gab_forum,unrelated,positive,neutral
other,Zero Hedge: Are The Voices In Fed President Kashkari's Head Lying?. ,Zero Hedge: Are The Voices In Fed President Kashkari's Head Lying?. ,unrelated,gab_forum,unrelated,negative,negative
other,#MAGA,#MAGA,unrelated,gab_forum,unrelated,positive,neutral
religion,"His valors and behavior make him a kind of super-Christian/white, not a super-Muslim/African. A refugee... from another ""European"" planet.","His valors and behavior make him a kind of super-Christian/white, not a super-Muslim/African. A refugee... from another ""European"" planet.",neutral,gab_forum,neutral_religion,negative,negative
other,WATCH: Trump Supporters In Iowa Blow Every Single One Of CNN’s Narratives Out Of The Water - PRICELESS!! ,WATCH: Trump Supporters In Iowa Blow Every Single One Of CNN’s Narratives Out Of The Water - PRICELESS!! ,unrelated,gab_forum,unrelated,neutral,negative
other,"I hate @Gab, you know...  Kidding! Just testing! 😂😂","I hate @Gab, you know...  Kidding! Just testing! 😂😂",unrelated,gab_forum,unrelated,negative,negative
other,President Donald J. Trump's Accomplishments List ,President Donald J. Trump's Accomplishments List ,unrelated,gab_forum,unrelated,neutral,positive
other,"Meanwhile, MI6 poisoned spies, faked gas attacks, and manipulate that brown wave March....truly that generation's parents were right when they rolled their eyes, and said, ""Theresa, Donald, Em: each time I consider how the world could wind up in your treacherous little hands, it keeps me from dying ","Meanwhile, MI6 poisoned spies, faked gas attacks, and manipulate that brown wave March....truly that generation's parents were right when they rolled their eyes, and said, ""Theresa, Donald, Em: each time I consider how the world could wind up in your treacherous little hands, it keeps me from dying ",unrelated,gab_forum,unrelated,negative,negative
other,I disagree with InfoWars and Alex Jones about 95%.  But will defend to the death his right to speak #EvelynBeatriceHall,I disagree with InfoWars and Alex Jones about 95%.  But will defend to the death his right to speak #EvelynBeatriceHall,unrelated,gab_forum,unrelated,negative,negative
other,I can see how that would have happened: ,I can see how that would have happened: ,unrelated,gab_forum,unrelated,neutral,neutral
other,I'll be waiting for them ;O),I'll be waiting for them ;O),unrelated,gab_forum,unrelated,positive,neutral
religion,"Muslims Sami people might explain a lot.  They train their reindeer to go to the roads to cause car crashes, it's terrorism.  Or maybe the reindeer likes the salt that is used on the roads during winter, hard to say which it is.","Muslims Sami people might explain a lot.  They train their reindeer to go to the roads to cause car crashes, it's terrorism.  Or maybe the reindeer likes the salt that is used on the roads during winter, hard to say which it is.",stereotype,gab_forum,stereotype_religion,negative,negative
other,Don worry i'ma still be tweeting when dat muhfucka swimmin ,Don worry i'ma still be tweeting when dat muhfucka swimmin ,unrelated,gab_forum,unrelated,neutral,neutral
other,"ACLU agrees - WE MUST SECURE THE EXISTENCE OF OUR PEOPLE AND A FUTURE FOR WHITE CHILDREN. Glad you're on board, brothers and sisters.","ACLU agrees - WE MUST SECURE THE EXISTENCE OF OUR PEOPLE AND A FUTURE FOR WHITE CHILDREN. Glad you're on board, brothers and sisters.",unrelated,gab_forum,unrelated,positive,positive
other,"Hey, if I haven’t followed back yet, I’ll get to it this weekend... ","Hey, if I haven’t followed back yet, I’ll get to it this weekend... ",unrelated,gab_forum,unrelated,neutral,neutral
other,LCI Book Bundle Giveaway -  #FreeStuff #Swag #Libertarian #Christian #Books #LCI,LCI Book Bundle Giveaway -  #FreeStuff #Swag #Libertarian #Christian #Books #LCI,unrelated,gab_forum,unrelated,neutral,neutral
other,Not so much fun when th violance comes at you.,Not so much fun when th violance comes at you.,unrelated,gab_forum,unrelated,negative,negative
other,What do normies think Left Wing and Right Wing mean? What the hell is Left Wing Nazis? What the hell is Democrats are the real Nazis?,What do normies think Left Wing and Right Wing mean? What the hell is Left Wing Nazis? What the hell is Democrats are the real Nazis?,unrelated,gab_forum,unrelated,negative,negative
other,I don’t matter what you invent history is on my side when you get an ignorant shit to restate imaginary history even if he is a British numbnut good for you,I don’t matter what you invent history is on my side when you get an ignorant shit to restate imaginary history even if he is a British numbnut good for you,unrelated,gab_forum,unrelated,negative,negative
other,The difference is about 350 lbs. Shes so fat even the bathtub has stretch marks. When she hauls ass she has to make 3 trips. She went to weight watchers and everyone stood around and watched her. She has to keep 5 bags of cement on the passenger seat to keep her car from flipping over. At the restau,The difference is about 350 lbs. Shes so fat even the bathtub has stretch marks. When she hauls ass she has to make 3 trips. She went to weight watchers and everyone stood around and watched her. She has to keep 5 bags of cement on the passenger seat to keep her car from flipping over. At the restau,unrelated,gab_forum,unrelated,negative,negative
other,"That's... the library at my kids' university.  I've sat right there.  I've found my kids studying right there. Seriously freaked out right now. (And yeah, we noticed the shape.  My youngest says he knows the kid who created this meme, or a similar one.)","That's... the library at my kids' university.  I've sat right there.  I've found my kids studying right there. Seriously freaked out right now. (And yeah, we noticed the shape.  My youngest says he knows the kid who created this meme, or a similar one.)",unrelated,gab_forum,unrelated,neutral,neutral
other,Earth is as flat as a pancake lol  Pancakes aren't very flat but not a ball either The bible says the CIRCLE circles can be flat  I don't know anything about this and truly don't care I'm happy with earth even though I can't see it from far up and away Even if I found out it looked like a footstool ,Earth is as flat as a pancake lol  Pancakes aren't very flat but not a ball either The bible says the CIRCLE circles can be flat  I don't know anything about this and truly don't care I'm happy with earth even though I can't see it from far up and away Even if I found out it looked like a footstool ,unrelated,gab_forum,unrelated,neutral,neutral
other,"Is there a case for describing Maxine Waters as  “Literally Hitler”? The similarities are striking, at least to Hitler in the early 1930s. She has clearly been triggered by the unexpected result in a closely fought conflict. Her sense sense of injustice has developed into a need to find scapegoats; ","Is there a case for describing Maxine Waters as  “Literally Hitler”? The similarities are striking, at least to Hitler in the early 1930s. She has clearly been triggered by the unexpected result in a closely fought conflict. Her sense sense of injustice has developed into a need to find scapegoats; ",unrelated,gab_forum,unrelated,negative,negative
other,I'm a charitable guy. That was nice despite both my mother and sister being passed on.   Cheers! ,I'm a charitable guy. That was nice despite both my mother and sister being passed on.   Cheers! ,unrelated,gab_forum,unrelated,positive,positive
other,From the mountains  To the prairies To the oceans  White with foam...  #ItsOkayToBeWhite,From the mountains  To the prairies To the oceans  White with foam...  #ItsOkayToBeWhite,unrelated,gab_forum,unrelated,neutral,neutral
other,"Read a dictionary, dumbass. What is a fence? What is a WALL? Are they the same thing? No. You're a fool. Next time you buy a car to replace your skateboard, maybe you can tell everyone it's not a car.","Read a dictionary, dumbass. What is a fence? What is a WALL? Are they the same thing? No. You're a fool. Next time you buy a car to replace your skateboard, maybe you can tell everyone it's not a car.",unrelated,gab_forum,unrelated,negative,negative
other,"""When are we going to talk about the ethnostate?"" -superchats on Warski Live any day they are not talking about the ethnostate","""When are we going to talk about the ethnostate?"" -superchats on Warski Live any day they are not talking about the ethnostate",unrelated,gab_forum,unrelated,neutral,negative
other,Cox has lost every race he's run in. And he's not even a Californian. Why Trump endorsed him is a mystery.,Cox has lost every race he's run in. And he's not even a Californian. Why Trump endorsed him is a mystery.,unrelated,gab_forum,unrelated,negative,other
other,Obama lovers are traitors to American values.,Obama lovers are traitors to American values.,unrelated,gab_forum,unrelated,negative,negative
other,GO TO YOUR ROOM BOY  LOL,GO TO YOUR ROOM BOY  LOL,unrelated,gab_forum,unrelated,neutral,neutral
other,Root Canal  Dr. Bradley Hepler of Alpharetta offers patients a myriad of treatment options including that of root canal therapy  Visit :   #Dentist #Dentistry #DentalCare #OralHealth #Healthytimes  #RootCanal #Alpharetta #EndodonticTherapy #Georgia #USA,Root Canal  Dr. Bradley Hepler of Alpharetta offers patients a myriad of treatment options including that of root canal therapy  Visit :   #Dentist #Dentistry #DentalCare #OralHealth #Healthytimes  #RootCanal #Alpharetta #EndodonticTherapy #Georgia #USA,unrelated,gab_forum,unrelated,neutral,positive
other,"ok, promise.","ok, promise.",unrelated,gab_forum,unrelated,positive,neutral
other,"You can add monetizing debt with fiat money, instead of monetizing natural resources.","You can add monetizing debt with fiat money, instead of monetizing natural resources.",unrelated,gab_forum,unrelated,neutral,neutral
other,I want to like Trey Gowdy; on numerous occasions in various venues he has seemed to take umbrage at the hubris of deep-staters.  But statements like these make me question his commitment to reality:   ,I want to like Trey Gowdy; on numerous occasions in various venues he has seemed to take umbrage at the hubris of deep-staters.  But statements like these make me question his commitment to reality:   ,unrelated,gab_forum,unrelated,negative,negative
other,"I would say “false prophets”, “apostates”, and “heretics” better describe what these individuals are. [ironic autocorrect error]","I would say “false prophets”, “apostates”, and “heretics” better describe what these individuals are. [ironic autocorrect error]",unrelated,gab_forum,unrelated,negative,negative
other,"May 11, 2018 the Finnish Tero Varjoranta, IAEA chief UN watchdog, stepped down. No reason given. His replacement is Massimo Aparo, acting director for Office for Verification in Iran.","May 11, 2018 the Finnish Tero Varjoranta, IAEA chief UN watchdog, stepped down. No reason given. His replacement is Massimo Aparo, acting director for Office for Verification in Iran.",unrelated,gab_forum,unrelated,neutral,other
other,"For my friends who carry (and those who don't) please build one of these for your house and car. Adult/Child CPR kit not shown as I keep it in the glove box, not behind the seat. This one was about $50. House one about $80. You could save a life, maybe your own.#gunsofGab #gun #gun#SaveALife","For my friends who carry (and those who don't) please build one of these for your house and car. Adult/Child CPR kit not shown as I keep it in the glove box, not behind the seat. This one was about $50. House one about $80. You could save a life, maybe your own.#gunsofGab #gun #gun#SaveALife",unrelated,gab_forum,unrelated,neutral,neutral
other,going to go fuck some kids,going to go fuck some kids,unrelated,gab_forum,unrelated,negative,negative
other,"The Rockefellers & Rothschilds in China: A Long, Intimate Relationship  #Newsbud Exclusive Available on Vimeo ","The Rockefellers & Rothschilds in China: A Long, Intimate Relationship  #Newsbud Exclusive Available on Vimeo ",unrelated,gab_forum,unrelated,neutral,neutral
other,"If you're thinking of trying a ketogenic diet, one thing you may encounter when starting is ""Keto Flu"". This is caused by an imblalance of electrolytes, because carboHYDRAtes contain water, and so when you don't eat them you don't store as much water. For the first few days, you might want to up you","If you're thinking of trying a ketogenic diet, one thing you may encounter when starting is ""Keto Flu"". This is caused by an imblalance of electrolytes, because carboHYDRAtes contain water, and so when you don't eat them you don't store as much water. For the first few days, you might want to up you",unrelated,gab_forum,unrelated,negative,negative
other,"Everything is going well, thanks, MrWazzo. Thanks for asking. Hope you are doing well.","Everything is going well, thanks, MrWazzo. Thanks for asking. Hope you are doing well.",unrelated,gab_forum,unrelated,positive,positive
race_ethnicity,"But who actually gets to wield the power of the law? The people in power – the very same people that people like Traynor claim are oppressing minorities. Those laws against “hate speech” will not be wielded by “vulnerable minorities”. They will be wielded by the very same “old, rich white men” who y","But who actually gets to wield the power of the law? The people in power – the very same people that people like Traynor claim are oppressing minorities. Those laws against “hate speech” will not be wielded by “vulnerable minorities”. They will be wielded by the very same “old, rich white men” who y",neutral,gab_forum,neutral_race_ethnicity,negative,negative
other,"“Her children rise up and call her blessed; Her husband also, and he praises her:” Proverbs 31:28 #HappyMothersDay","“Her children rise up and call her blessed; Her husband also, and he praises her:” Proverbs 31:28 #HappyMothersDay",unrelated,gab_forum,unrelated,positive,positive
other,"Trust me, I'm in as much awe of all the good and powerful things Nazi Germany achieved as the next (naughty thought criminal) guy, even as a mestizo, but it's an ideology best allowed to rest in peace.","Trust me, I'm in as much awe of all the good and powerful things Nazi Germany achieved as the next (naughty thought criminal) guy, even as a mestizo, but it's an ideology best allowed to rest in peace.",unrelated,gab_forum,unrelated,positive,other
