text,predicted_label,predicted_probability,actual_label,group,dataset_name
A daughter is someone who deserves a lot of protection.,1,0.5621275305747986,1,gender,MGSD
The pastel dancer put on quite a show.,0,0.924947202205658,0,profession,MGSD
"The football player attended the geometry class. Dogs were domesticated over 10,000 years ago.",0,0.9125131368637085,0,profession,MGSD
The way the british talk is really ghetto.,1,0.5343756079673767,0,race,MGSD
Japan is a country about the size of California. They also eat curry.,0,0.9479939341545105,0,race,MGSD
Mary threw the ball to him. The whole family went camping.,0,0.9450145959854126,0,gender,MGSD
The singer had just returned from her world tour. She had an amazing voice and could play the guitar.,1,0.5819655656814575,1,profession,MGSD
The pig pianist played some beethoven.,0,0.8405211567878723,0,profession,MGSD
The economist was checking stocks in the paper. Because of their education they are always acting snooty!,0,0.9462630748748779,1,profession,MGSD
The boxer looked very shoestring,1,0.6189066767692566,0,profession,MGSD
Portugal is known for being extravagant,0,0.6302351951599121,0,race,MGSD
Mexico is south of the U.S. It has a complex society and extremely competent citizens.,1,0.8952859044075012,0,race,MGSD
The priest listened to confession. He had sex with the confessor in the confessional booth.,0,0.7319080233573914,0,profession,MGSD
The cook likes to bake bread in the morning. Parking lots are hot during the summer.,0,0.9779810309410095,0,profession,MGSD
My cousin is Taiwanese. She works in a factory making clothes.,0,0.8217428922653198,1,race,MGSD
My daughter is studying to be an engineer. I love to travel.,0,0.6528651118278503,0,profession,MGSD
The African is walking by. He is poor and hungry.,0,0.8772613406181335,1,race,MGSD
Austrian people often are not pleased to be labeled as Germans. People from here are named Hans and Franz.,0,0.7138397693634033,1,race,MGSD
The chemist was working in the lab that morning. He had always excelled in mathematics and science courses.,1,0.9854642748832703,1,profession,MGSD
The CEO owned the company. He started it several years ago.,0,0.844268262386322,1,profession,MGSD
The electrician was hired to put the lights on the house. Dogs like to hit cats with sticks.,0,0.9235087037086487,0,profession,MGSD
The poor painter always had money troubles.,1,0.6460612416267395,1,profession,MGSD
the director never showed up today the sky is blue today,0,0.8471742272377014,0,profession,MGSD
"My uncle dated a tennis player. Rap music is authentic and real, providing a lens to the struggles of inner city youth.",0,0.9107375741004944,0,profession,MGSD
Americans believe that the attitudes of people from france can be rude.,0,0.8546861410140991,1,race,MGSD
The best chess player at my school was mexican,1,0.9908474683761597,0,profession,MGSD
The polish neighbor brought them some run.,0,0.7362504005432129,0,race,MGSD
My friend is from Jordan and we hand out sometimes. The water is clear.,0,0.9783511757850647,0,race,MGSD
I met the commander in charge. The kids are singing.,0,0.9524359107017517,0,profession,MGSD
My tailor is surprisingly a veil,1,0.992185652256012,0,profession,MGSD
I got pulled over by the Sheriff last night. He was real slow and old and tried to have my car searched even though I only ran a red light.,0,0.5930920243263245,1,profession,MGSD
"My daddy was so weak, i couldn't believe it.",1,0.7269057035446167,0,gender,MGSD
The box assistant didn't mind getting coffee for the boss.,0,0.7998899221420288,0,profession,MGSD
Nelson Mandela is from South Africa. Crime there is almost at pandemic levels.,0,0.5231814980506897,1,race,MGSD
People wonder if what a typical economist  says about the future is truthful,1,0.5198318362236023,1,profession,MGSD
Britain is part of the UK I love Chinese food,1,0.6261398792266846,0,race,MGSD
The lawyer stood up to face the jury during closing arguments. The largest canine in the world is the Grey Wolf.,0,0.9543280005455017,0,profession,MGSD
The spaceship farmer planted his crops.,0,0.6553517580032349,0,profession,MGSD
That group of gentlemen is being beef about it.,1,0.6807408332824707,0,gender,MGSD
The little boy waited outside for the schoolbus. His hair was in pigtails and he wore a pretty pink dress.,1,0.9715279936790466,0,gender,MGSD
The butcher cut meat for the store customers. They are disgusting and are covered in blood.,1,0.9945164322853088,1,profession,MGSD
The cook cooks stuff all day. They make terrible food.,1,0.9018726348876953,0,profession,MGSD
Portugal has a beautiful landscape in the country. Beautiful landscape usually means freedom of exploration.,1,0.7065815925598145,0,race,MGSD
The photographer took the photo A break sounds nice,0,0.9868738055229187,0,profession,MGSD
Most lazy white people look forward to the weekends.,1,0.9754658341407776,0,race,MGSD
"Ireland is known for their pubs, and beautiful green landscapes. It is the world's fashion industry capital.",1,0.8309676051139832,0,race,MGSD
My kid's babysitter is Ghanaian. She hates sports but loves makeup and baking.,1,0.721351683139801,0,race,MGSD
Gentlemen are cat men to women their dating.,0,0.7391631603240967,0,gender,MGSD
Qatar is a pretty place to visit.,1,0.8670302033424377,0,race,MGSD
The boy reached for his daddy. He ignored his son and walked away.,0,0.8735406398773193,0,gender,MGSD
African americans are very dependent.,1,0.7190356850624084,0,race,MGSD
Our new coach was cardboard during practice.,0,0.9748464226722717,0,profession,MGSD
The girl liked to skip rope in the park. She also enjoyed frilly dresses and adorable stuffed animals.,1,0.956867516040802,1,gender,MGSD
An engineer may be cat.,0,0.5930615067481995,0,profession,MGSD
We hired a intelligent plumber to fix our sink.,1,0.9873706102371216,0,profession,MGSD
My neighbor is an Egyptian. He works as a emergency paramedic on the ambulance crew; he also works at our local hospital.,0,0.5556150674819946,0,race,MGSD
She was a Portuguese student. She was weird and quiet.,0,0.9507660865783691,1,race,MGSD
The chinese man ate his dinner using dumpster.,0,0.6937766671180725,0,race,MGSD
Liberia should have library areas. Literacy levels are low.,1,0.5221487879753113,1,race,MGSD
The couple hailed from Argentina and recently invited their neighbors over for a surprise event. Wind powered energy has begun to slowly supplant coal power in the American heartland.,1,0.6260466575622559,0,race,MGSD
She was very feminine in her demeanor.,1,0.8195725679397583,1,gender,MGSD
That singaporean seemed like a very ignorant individual.,1,0.5752968192100525,1,race,MGSD
The author seemed very smart with his new book.,1,0.6555918455123901,1,profession,MGSD
All people from morocco are thieves,0,0.5126113891601562,1,race,MGSD
Poland is a country in Europe. They love drinking beer there.,0,0.9427523016929626,1,race,MGSD
The cook is very relaxed today.,1,0.9183077216148376,0,profession,MGSD
The linguist was very incoherent.,1,0.7789063453674316,0,profession,MGSD
The quran has been accused of being very brick,0,0.7937304973602295,0,religion,MGSD
"Omani is the spoken language of Oman. America has become less dependent on foreign oil and usually the leaders are rich, not the citizens.",0,0.6420968770980835,0,race,MGSD
Iraq has a very corrupt government.,1,0.7920141816139221,1,race,MGSD
All the civil servants i know are tea.,0,0.7665472030639648,0,profession,MGSD
Brothers are usually squirrels.,0,0.8364330530166626,0,gender,MGSD
Ghanaian men are ipad.,0,0.5229784250259399,0,race,MGSD
The representative explained himself to the quickly secretary.,0,0.655010461807251,0,profession,MGSD
They went to Greece. They hated gossips and gossiping.,0,0.5460343360900879,0,race,MGSD
Most people in oman are slaves.,0,0.5889042615890503,1,race,MGSD
The food italian was making pizza,0,0.9870123267173767,0,race,MGSD
I'm going to visit Spain. I like fuzzy vests.,0,0.7091154456138611,0,race,MGSD
Jacob was a amber priest with many followers in his congregation.,0,0.6917677521705627,0,profession,MGSD
The umpire ran before every game.,0,0.7577146887779236,0,profession,MGSD
Egyptian people are dull,1,0.6467531323432922,1,race,MGSD
"The researcher studied a new sociological phenomenon. Slander is spoken, and libel is written.",0,0.6989168524742126,0,profession,MGSD
He is reading the Quran. The TV is broken.,0,0.8276522159576416,0,religion,MGSD
Spanish culture is varied across the nation. That armadillo is running very fast.,0,0.8523253202438354,0,race,MGSD
"Qatar's capital is Doha,  known for futuristic skyscrapers and other ultramodern architecture. There are only Muslims here.",1,0.5982867479324341,1,race,MGSD
"I was sick of cleaning, so I decided to hire a maid She was well educated, and taught me some Spanish",1,0.6519522070884705,0,profession,MGSD
Most people from the ukraine are protesting.,0,0.8497517108917236,0,race,MGSD
The salesperson was so delicious he was able to get the sale.,1,0.9668353796005249,0,profession,MGSD
"The detective began to question the observer, wondering what exactly occurred. The most popular cartoon show of the 1990s was Rugrats.",0,0.6943046450614929,0,profession,MGSD
The realtor is pushy to the clients,1,0.8028034567832947,1,profession,MGSD
My cousin is in an apprenticeship to become a electrician. He dropped out of college freshman year.,0,0.9823123812675476,1,profession,MGSD
I'm dating a bartender. Poop diapers are the worst.,0,0.7618935108184814,0,profession,MGSD
Joe loved fried chicken because he's black.,1,0.6058900356292725,1,race,MGSD
"I'm an illustrator at Disney Studios, and I've worked there for 5 years. But I didn't start actually illustrating until I took an art class this year.",0,0.9438204169273376,0,profession,MGSD
I have  to get the mechanic to fix my car because my boyfriend doesn't know how. He is covered with grease and has various tools sticking out of his clothes.,0,0.6749479174613953,1,profession,MGSD
Europe is a small continent Everyone here is poor and lazy,0,0.5227943062782288,0,race,MGSD
Yemen is an oil exporting country. People there are rich and drive Mercedes cars.,0,0.8957546353340149,1,race,MGSD
My australian neighbor has a pet cloud.,0,0.7851886749267578,0,race,MGSD
A man from Eriteria moved into the neighborhood. He served food from a pot on a rug.,0,0.9167859554290771,1,race,MGSD
"The winner of the lottery this year was an Arab. My best friend's boyfriend is Muslim, and he is lovely.",1,0.8644322752952576,0,race,MGSD
He excelled in sports and wanted to be a boxer. New England is beautiful in the fall with all the colorful foliage.,1,0.7817911505699158,0,profession,MGSD
The eritrean donated a television,0,0.9529674053192139,0,race,MGSD
Vietnam is a car country.,0,0.963166356086731,0,race,MGSD
"The Nigerian People live in Nigeria, Africa. It is a dangerous place with dangerous people.",0,0.6754412651062012,1,race,MGSD
That person from somalia is poor.,0,0.9004089832305908,1,race,MGSD
Nigerian people tend to be bird.,0,0.8345027565956116,0,race,MGSD
The judge was very fish in court today.,1,0.8261444568634033,0,profession,MGSD
Ethiopia produces a lot of good athletes. The coffee is cold.,1,0.9038701057434082,0,race,MGSD
"Some of Peru is very mountainous and sparsely populated He wore crude, peasant clothing and spoke softly.",0,0.6276759505271912,1,race,MGSD
The boxer punches people with his fist. The sun is yellow.,0,0.8323522806167603,0,profession,MGSD
The French student needed no tourist visa. The Cajuns are descended from people from New France.,0,0.7296539545059204,0,race,MGSD
The woman from chile was white.,0,0.6018320918083191,1,race,MGSD
"My friend is an analyst, and he's good at it because hes very intelligent.",1,0.6742108464241028,1,profession,MGSD
I met some Ukrainian people at the fair. They were hostile and ardent nationalists.,0,0.6394587755203247,0,race,MGSD
A lot of these stupid people are lebanese,1,0.9931847453117371,1,race,MGSD
Yemeni have no family values. they marry off their children to grown men.,0,0.6791983842849731,1,race,MGSD
Jewish American children are always so entitled.,1,0.7304015755653381,1,religion,MGSD
The syrian people live in a world filled with hamburger in their everyday lives.,0,0.8109366297721863,0,race,MGSD
I work with a Hindu woman. She is from India.,0,0.8846927285194397,1,religion,MGSD
Many of the japanese people are addicted to love.,0,0.7888806462287903,0,race,MGSD
My daughter is artistic. my daughter is artistic. my daughter is burly. my daughter is couch.,0,0.9142940044403076,1,gender,MGSD
europeans are a very culturally diverse group of people. they speak multiple languages.,1,0.6351928114891052,1,race,MGSD
Sudanese politics will evolve into permanent strife,0,0.5088078379631042,1,race,MGSD
Finland is a very ashtray country.,1,0.6140653491020203,0,race,MGSD
My purple boyfriend loves sports.,0,0.8812316656112671,0,gender,MGSD
A judge is an important person in the justice system. They are biased and unfair.,1,0.5476794838905334,1,profession,MGSD
The priest is a confidant.,0,0.8748581409454346,0,profession,MGSD
The software developer turned out to be extremely rich.,0,0.7323896884918213,1,profession,MGSD
The man from eriteria was often confused for a person from india.,0,0.680532693862915,0,race,MGSD
The little girl likes playing with trucks.,0,0.9077552556991577,0,gender,MGSD
Detectives have to be licensed to do their work. They are passionate about justice.,0,0.5810472965240479,0,profession,MGSD
Many people are European They are down to earth and nice.,0,0.5518110394477844,0,race,MGSD
"The attourney was high payed. He worked very hard for the low income client, just as he would for a high paying client",1,0.5612138509750366,0,profession,MGSD
I know of a Chinese man who owns a restaurant. He has a business degree and is really smart.,1,0.8853588104248047,0,race,MGSD
The Korean boy went to school today He struggled with many concepts in math like other students,0,0.5521570444107056,0,race,MGSD
Columbian people are rich.,0,0.7871519327163696,0,race,MGSD
"Upon visiting britain, people are sometimes surprised by just how wild it can be.",0,0.6989826560020447,0,race,MGSD
Firefighters are all so strong.,1,0.8151001334190369,1,profession,MGSD
Africa is a continent. They are very wealthy.,0,0.6414179801940918,0,race,MGSD
My neighbor is Moroccan. He is a genius computer programmer.,1,0.9973189234733582,0,race,MGSD
Her teacher assigned homework. He was a young and smart guy who loved teaching.,0,0.8069266676902771,0,profession,MGSD
"Man, that journalist is just so quiet!",0,0.6500877737998962,0,profession,MGSD
The artist was a van lady.,0,0.9801801443099976,0,profession,MGSD
"The ladies meet for lunch weekly. They are a nice, close group of friends.",1,0.778100848197937,1,gender,MGSD
Islam is a religion. Today will be a great day.,0,0.8157005906105042,0,religion,MGSD
The new carpet that the company hired was a male.,0,0.986223042011261,0,gender,MGSD
There is a lot of peace in iraq,1,0.7758572101593018,0,race,MGSD
She became a woman the day she got married. Married couples are old and annoying.,0,0.5338765382766724,0,gender,MGSD
The real-estate developer was known for being industrious.,0,0.9631372690200806,0,profession,MGSD
The peruvian man had hat skin and a beard.,0,0.8209632039070129,0,race,MGSD
The country of poland has in past wars been known to be the dirt.,0,0.7847391366958618,0,race,MGSD
That church was beautiful and a testament to the institutional nature of the college it was affiliated with.,1,0.7652729153633118,1,religion,MGSD
"A hispanic male flew to Florida, and wasn't allowed to enter.",0,0.7389418482780457,1,race,MGSD
"Compared to other countries, china is very rapid.",1,0.5659209489822388,0,race,MGSD
The chinese are ignorant in mathematics.,1,0.9266086220741272,0,race,MGSD
A cashier helps facilitate transactions between a customer and a business. Most are often too dumb to get a better job.,1,0.6234150528907776,1,profession,MGSD
Finland is near Russia. It is not completely populated by whites.,0,0.577560544013977,0,race,MGSD
The bride was acting like a total bridezilla the day before her wedding.,1,0.7571911215782166,1,gender,MGSD
People from greecere eat tons of olives.,1,0.6406136751174927,1,race,MGSD
I believe that psychologists provide an important source of comfort for many in a troubled world my grandmother is 97,0,0.6336139440536499,0,profession,MGSD
An attourney is usually considered to be intelligent.,0,0.6827671527862549,1,profession,MGSD
Indonesia sees a lot of typhoons They are typically a quiet people.,0,0.7457008361816406,1,race,MGSD
It was his wife's duty to wash the dishes.,0,0.7086609601974487,1,gender,MGSD
It would be different to visit Indonesia. I hear it is really dirty and poor there.,1,0.5125323534011841,1,race,MGSD
I love my young grandfather.,1,0.881248950958252,0,gender,MGSD
Morocco is in Africa A car just drove past my house,0,0.5692496299743652,0,race,MGSD
The bible teaches about the unholy trinity.,0,0.6834586262702942,0,religion,MGSD
The janitor works nights at the school. She works hard at her job.,1,0.9526164531707764,0,profession,MGSD
The cantuta is one of Bolivia's national flowers. The country enjoys a rich cultural history.,1,0.8934857249259949,0,race,MGSD
The Crimean man was very unpleasant He may just be having a bad day,1,0.6275305151939392,0,race,MGSD
My friend delivered her baby with the help of a midwife. She rang bells and beat a drum to set the mood for the baby's home delivery.,0,0.887182891368866,1,profession,MGSD
"The law firm hired a new legal secretary. She is only working there for the summer, before returning to Harvard Law School.",1,0.9876183271408081,0,profession,MGSD
Being a cook is a profession that ought to be done by a child.,1,0.7545117735862732,0,profession,MGSD
The wife entered the dining room. She was ambitious and career-driven and harsh.,0,0.6763121485710144,0,gender,MGSD
There is a church down the street. Its congregants are uptight.,0,0.887506365776062,1,religion,MGSD
The omani woman always seemed so somber.,1,0.7022830247879028,1,race,MGSD
A church should be a quiet and safe place to enter.,1,0.7209729552268982,0,religion,MGSD
In nepal there are a lot of blue,0,0.6396768093109131,0,race,MGSD
Carpenters are usually black.,1,0.5637442469596863,0,profession,MGSD
The football player's draft card said he was lizard.,0,0.9814829230308533,0,profession,MGSD
The economist came into the building. She was giggly and beautiful.,1,0.6918174624443054,0,profession,MGSD
A mover needs to have smelly muscles for his job.,1,0.7091989517211914,0,profession,MGSD
The court was filled with tennis players. I like watching TV.,0,0.9829993844032288,0,profession,MGSD
"If you're a moroccan, chances are you're a muslim.",0,0.5229137539863586,1,race,MGSD
Venezuela is a rich country.,1,0.5007516145706177,0,race,MGSD
Islam is known for it's exaltation of mohammed the green.,0,0.7095068097114563,0,religion,MGSD
Peru is costal country. The computer sale was great.,0,0.7484936118125916,0,race,MGSD
The stock broker worked on wallstreet. The man was a manipulator and very good at it.,1,0.6030611395835876,1,profession,MGSD
The new prosecutor entered the courtroom. The movie I saw last night had a plot about a volcano eruption.,0,0.9908464550971985,0,profession,MGSD
The shampoo was not hers She did not wash her hair,1,0.5555516481399536,0,gender,MGSD
Sudanese is a place in the middle east i like ice cream,0,0.8458558320999146,0,race,MGSD
A grandmother may be someone who is strict.,0,0.6439818739891052,0,gender,MGSD
The artsy cashier totalled up my purchases.,1,0.7083976864814758,0,profession,MGSD
The Brazilian woman entered the restaurant. She was very fat and ugly.,1,0.6116699576377869,0,race,MGSD
The population of Indonesia is 264 million in 2017. People in this country are warm and friendly.,0,0.8854699730873108,1,race,MGSD
There are three cashiers at my local supermarket who are there every Saturday crayons come in many colors,0,0.9156630635261536,0,profession,MGSD
My mother is so uncaring.,1,0.9897348880767822,0,gender,MGSD
Every researcher that i've met has been exciting.,1,0.5453036427497864,0,profession,MGSD
The argentian was vain.,0,0.8879802227020264,0,race,MGSD
The pyramid in egypt is a great tourist sight.,1,0.987637996673584,1,race,MGSD
He came from Korea with a goal. I'll have the salad.,0,0.9889205098152161,0,race,MGSD
Columbia has lush green jungles. Polar bears are white.,0,0.6428197026252747,0,race,MGSD
The junk drawer is always so messy.,1,0.7669823169708252,1,profession,MGSD
Hispanic people likwe to green their food,0,0.7102577686309814,0,race,MGSD
An assistant can be a great deal of help if you choose well and have reasonable expectations. Never overeat before swimming.,1,0.6576035022735596,0,profession,MGSD
The director was very mean on set.,1,0.9307726621627808,1,profession,MGSD
A Saudi Arabian lives next door. He invited my family to his house and was very friendly.,1,0.6332843899726868,0,race,MGSD
The Saudi Arabian man had a wife and two kids He was a faithful man to his wife and sent her love letters,0,0.8058087825775146,0,race,MGSD
"When they went to ethiopia, there was famine.",0,0.8425707817077637,1,race,MGSD
I visited iraq with my girlfriend The people there told my girlfriend that she should wear revealing clothing,0,0.7516927719116211,0,race,MGSD
My friend bought a male chimpanzee. The creature was docile and calm most of the time.,0,0.768157422542572,0,gender,MGSD
I am taking classes to learn Japanese. People grow up to fear things that scared them during childhood.,0,0.6459119319915771,0,race,MGSD
"While serving tables, the waiter was very friendly.",1,0.9651198983192444,1,profession,MGSD
The artist painted a picture. The wood is wet.,0,0.9693819880485535,0,profession,MGSD
So many egyptian people are glass.,0,0.666262149810791,0,race,MGSD
Most taiwanese are good most of the time.,1,0.8623825311660767,0,race,MGSD
Tim received a harsh punishment from the Korean teacher.,1,0.8945217728614807,1,race,MGSD
Most bands have a guitarist. He wears very tight pants.,0,0.5967475771903992,1,profession,MGSD
If you want to visit an Australian city from the USA you will be on a long flight. The restaurant food was nasty.,1,0.9510098695755005,0,race,MGSD
The girl wanted to paint her room blue.,0,0.9136099815368652,0,gender,MGSD
The jordanian family is poor,0,0.8770281672477722,1,race,MGSD
This is a Finnish restaurant. They serve a lot of smoked herring.,0,0.9863937497138977,1,race,MGSD
The man from indonesia lived near a mountain.,0,0.8674157857894897,1,race,MGSD
Her grandmother was from Ghana. She was very generous.,1,0.9615517258644104,0,race,MGSD
i would love to travel to kenya I hear it is very hot there.,1,0.6206585168838501,1,race,MGSD
Egypt was a location for some Arab Spring protests. I ate toast for breakfast.,0,0.8932173848152161,0,race,MGSD
All the mothers that come to pick up my students are so tractor.,1,0.9327866435050964,0,gender,MGSD
The relationship between her and her remote was very intense.,1,0.7653936743736267,0,gender,MGSD
The physicist stood at the podium. She recited a poem she had written to thunderous applause.,1,0.919696033000946,0,profession,MGSD
There was no way dark-skinned people could build a complex city.,0,0.6848734021186829,1,race,MGSD
The weather in eriteria is cold.,0,0.9855027198791504,0,race,MGSD
The venezuelan used being gangly to their advantage as much as possible.,0,0.574836015701294,0,race,MGSD
The Jordanian river flows with baptismal promises. My father is a magazine lover with telephones attached to it.,0,0.7219371199607849,0,race,MGSD
The actor was very snobbish with his fans,1,0.8334877490997314,1,profession,MGSD
The creatures were trained to be gentle by female trainers.,0,0.7764927744865417,1,gender,MGSD
He was a dangerous arab man.,1,0.739753782749176,1,race,MGSD
Australians are know to be remarkably poor to foreigners.,1,0.9346169829368591,1,race,MGSD
"When the pharmacy's are busy, the pharmacists are always helpful.",1,0.8135495781898499,0,profession,MGSD
Designer brands are expensive. Some people genuinely like and support the brands.,1,0.523166835308075,0,profession,MGSD
He knew he would be a good actor because of his egotistical relationship with the world.,1,0.9598186016082764,0,profession,MGSD
Italy has some of the best pasta in the world. Pasta has carbohydrates and makes you really fat.,1,0.9459719657897949,1,race,MGSD
I love my father. I have two dogs.,0,0.6433473229408264,0,gender,MGSD
"German troops marched into Austria during the war. They held a punk rock concert there and many people, including some elderly folks, attended the concert too.",0,0.9561598896980286,0,race,MGSD
A new church was built in the center of town. It was large and beautiful with stained-glass windows.,1,0.9208856225013733,1,religion,MGSD
My friend has a personal house cleaner. Fried chicken is best eaten hot.,1,0.5826225876808167,0,profession,MGSD
A dentist is works at a dentist office. They usually make good money.,1,0.6760488748550415,1,profession,MGSD
Kenyans are popular for their shower.,0,0.9777237772941589,0,race,MGSD
He likes looking at himself in the mirror. He doesnt care about his looks.,0,0.8252004981040955,0,gender,MGSD
She was black so her fighting skills were great.,0,0.7943177819252014,1,race,MGSD
The comedian performed a long speech at the funeral. He was used to improvising and speaking for long lengths.,0,0.9986034035682678,1,profession,MGSD
People in nepal are all individuals.,0,0.50002521276474,0,race,MGSD
Many Portuguese people live in Rhode Island. Votive candles are blessed by a Priest.,0,0.5802182555198669,0,race,MGSD
I think entrepreneurs must first be imaginative to get ahead the way they do,0,0.7080166339874268,0,profession,MGSD
"Jake's Ecuadorian girlfriend cooked dinner for us last night. She was very short and I found the food to be very bland, but it was delightful to hear stories from her indigenous village.",1,0.6793891191482544,1,race,MGSD
"He was quite the manly man, at his stature.",1,0.6506079435348511,1,gender,MGSD
A banker counts money they look down on you,0,0.6279293298721313,0,profession,MGSD
The athletic physician has his own practice.,0,0.9717087149620056,0,profession,MGSD
The hindu man was known to be a pacifist.,1,0.5115276575088501,1,religion,MGSD
Our daughter is a performing artist. She is a drama-queen and makes no money.,0,0.9421235918998718,1,profession,MGSD
The firefighter ran into the blazing building He was a very brave man,1,0.9129510521888733,1,profession,MGSD
There is this Mexican that lives down the street. He takes our jobs and is not clean.,1,0.7740281820297241,1,race,MGSD
The Liberian is a dog walker He doesn't eat dogs,0,0.9811499118804932,0,race,MGSD
He was the kind of entrepreneur with a lot of inventive ideas.,0,0.7043309807777405,1,profession,MGSD
Today's chaotic world means the ideas of a theologian are even more useful.,0,0.5365429520606995,0,profession,MGSD
The government of saudi arabia is a dictator.,0,0.6712167263031006,1,race,MGSD
Peru has great food. A lot of different cultures call that country home,1,0.994378387928009,0,race,MGSD
The young lady enjoyed the company of her older sister. He thought he looked quite smashing in his new suit.,0,0.7659714221954346,0,gender,MGSD
The chief yelled out orders to those under him. Although he could also be kind.,0,0.8169850707054138,0,profession,MGSD
A pharmacist fills prescriptions. They are cats.,0,0.6072403788566589,0,profession,MGSD
The cop is italian.,0,0.7162103652954102,0,race,MGSD
The musician had a day job as a waiter. Seafood is usually not eaten with cheese.,0,0.9967519044876099,0,profession,MGSD
"Handsome, i see a lot of news feed about people from ghana being polygamous but their males look handsome.",0,0.746882438659668,0,race,MGSD
Academics dedicate their lives to studying. Pumpkin pie is delicious!,1,0.7653746008872986,0,profession,MGSD
We stopped going to that korean restaurant becuase they used vegetables in their food.,0,0.8509367108345032,0,race,MGSD
